iter	Passed	Remaining
0	20	5992
1	51	7690
2	81	8090
3	113	8390
4	125	7394
5	137	6717
6	144	6064
7	155	5680
8	162	5269
9	171	4971
10	177	4665
11	184	4434
12	194	4285
13	204	4183
14	208	3956
15	220	3910
16	228	3811
17	240	3765
18	250	3701
19	258	3616
20	270	3589
21	284	3595
22	293	3537
23	307	3539
24	322	3545
25	337	3554
26	349	3536
27	359	3492
28	369	3450
29	377	3394
30	385	3343
31	393	3294
32	402	3259
33	411	3219
34	422	3196
35	425	3122
36	435	3093
37	442	3051
38	453	3034
39	463	3014
40	473	2988
41	483	2967
42	499	2987
43	519	3024
44	534	3026
45	545	3010
46	554	2983
47	566	2971
48	569	2916
49	580	2902
50	589	2879
51	600	2864
52	613	2858
53	623	2840
54	635	2830
55	647	2823
56	656	2799
57	669	2792
58	683	2791
59	692	2770
60	702	2752
61	708	2719
62	718	2701
63	728	2687
64	738	2669
65	749	2658
66	758	2639
67	769	2623
68	780	2612
69	789	2593
70	800	2583
71	810	2566
72	823	2559
73	834	2549
74	846	2538
75	848	2501
76	862	2497
77	871	2480
78	883	2471
79	895	2462
80	904	2446
81	917	2440
82	928	2427
83	939	2415
84	951	2406
85	954	2375
86	965	2363
87	973	2345
88	985	2337
89	1005	2345
90	1019	2342
91	1034	2338
92	1044	2325
93	1053	2308
94	1064	2297
95	1073	2281
96	1085	2271
97	1096	2260
98	1106	2246
99	1129	2259
100	1140	2246
101	1150	2233
102	1163	2226
103	1172	2210
104	1180	2193
105	1191	2180
106	1198	2161
107	1209	2149
108	1217	2134
109	1231	2126
110	1251	2131
111	1278	2146
112	1289	2134
113	1299	2120
114	1310	2107
115	1318	2091
116	1327	2075
117	1335	2059
118	1344	2045
119	1353	2029
120	1366	2021
121	1380	2014
122	1392	2004
123	1402	1990
124	1414	1980
125	1425	1968
126	1436	1956
127	1459	1960
128	1470	1949
129	1479	1934
130	1489	1922
131	1499	1908
132	1511	1897
133	1523	1886
134	1531	1872
135	1542	1860
136	1554	1849
137	1563	1835
138	1576	1825
139	1590	1817
140	1606	1811
141	1620	1803
142	1629	1789
143	1645	1783
144	1655	1769
145	1665	1756
146	1676	1744
147	1684	1729
148	1693	1715
149	1701	1701
150	1709	1687
151	1718	1673
152	1727	1659
153	1740	1650
154	1751	1638
155	1759	1624
156	1769	1612
157	1777	1597
158	1786	1584
159	1795	1571
160	1806	1559
161	1814	1545
162	1823	1532
163	1832	1520
164	1844	1508
165	1856	1498
166	1868	1488
167	1878	1475
168	1889	1464
169	1898	1452
170	1909	1440
171	1918	1427
172	1927	1415
173	1938	1403
174	1946	1390
175	1956	1378
176	1965	1365
177	1975	1353
178	1984	1341
179	1992	1328
180	2003	1317
181	2013	1305
182	2023	1293
183	2031	1280
184	2041	1269
185	2053	1258
186	2061	1245
187	2074	1235
188	2088	1226
189	2099	1215
190	2107	1202
191	2117	1190
192	2142	1187
193	2153	1176
194	2162	1164
195	2175	1154
196	2188	1144
197	2199	1133
198	2209	1121
199	2221	1110
200	2232	1099
201	2243	1088
202	2256	1078
203	2268	1067
204	2277	1055
205	2289	1044
206	2300	1033
207	2312	1022
208	2323	1011
209	2335	1001
210	2345	989
211	2358	979
212	2372	969
213	2383	957
214	2392	945
215	2404	935
216	2424	927
217	2435	916
218	2445	904
219	2457	893
220	2468	882
221	2476	870
222	2486	858
223	2493	846
224	2502	834
225	2511	822
226	2519	810
227	2527	798
228	2536	786
229	2545	774
230	2554	762
231	2563	751
232	2571	739
233	2585	729
234	2603	720
235	2618	710
236	2628	698
237	2640	687
238	2654	677
239	2666	666
240	2676	655
241	2693	645
242	2706	634
243	2722	624
244	2741	615
245	2751	604
246	2759	592
247	2768	580
248	2779	569
249	2788	557
250	2800	546
251	2811	535
252	2819	523
253	2831	512
254	2840	501
255	2849	489
256	2859	478
257	2867	466
258	2877	455
259	2886	444
260	2896	432
261	2903	421
262	2912	409
263	2920	398
264	2931	387
265	2938	375
266	2947	364
267	2956	352
268	2964	341
269	2975	330
270	2984	319
271	2997	308
272	3008	297
273	3018	286
274	3032	275
275	3042	264
276	3053	253
277	3066	242
278	3078	231
279	3086	220
280	3098	209
281	3107	198
282	3116	187
283	3127	176
284	3135	165
285	3146	154
286	3160	143
287	3172	132
288	3184	121
289	3202	110
290	3216	99
291	3227	88
292	3238	77
293	3256	66
294	3268	55
295	3281	44
296	3294	33
297	3305	22
298	3315	11
299	3332	0
